ID totalevent29              | Name: Total Registration Complete 
ID totalevent3               | Name: Total Internal Searches 
ID totalevent32              | Name: Total Brand Page View 
ID totalevent35              | Name: Total Lifetime Value 
ID totalevent36              | Name: Total Custom Link Click 
ID totalevent37              | Name: Total Checkout Step 3: Select Payment 
ID totalevent38              | Name: Total Checkout Step 4 : Payment 
ID totalevent40              | Name: Total Add-to-Bag Button Click 
ID totalevent41              | Name: Total Order Value 
ID totalevent5               | Name: Total Custom Product View 
ID totalevent55              | Name: Total Products Shared 
ID totalevent56              | Name: Total Transaction Cancelled 
ID totalevent57              | Name: Total Profile Picture Updated 
ID totalevent58              | Name: Total Profile Picture Removed 
ID totalevent59              | Name: Total Product Quantity Updated 
ID totalevent6               | Name: Total Cart Value 
ID totalevent60              | Name: Total Sort Product Review 
ID totalevent61              | Name: Total Review Posted 
ID totalevent62              | Name: Total Try It On Clicks 
ID totalevent63              | Name: Total Gift Card Used 
ID totalevent64              | Name: Total Gift Card Value 
ID totalevent65              | Name: Total Has try it on 
ID totalevent66              | Name: Total No search results 
ID totalevent67              | Name: Total Server Error 
ID totalevent8               | Name: Total Checkout Step 2 : Shipping 
ID totalevent9               | Name: Total Shipping Charges 
ID totalorders               | Name: Total Orders 
ID totalpageviews            | Name: Total Page Views 
ID totalrevenue              | Name: Total Revenue 
ID totaltimespent            | Name: Total Time Spent 
ID totalunits                | Name: Total Units 
ID totalvisitorsdaily        | Name: Total Daily Unique Visitors 
ID totalvisitorshourly       | Name: Total Hourly Unique Visitors 
ID totalvisitorsmonthly      | Name: Total Monthly Unique Visitors 
ID totalvisitorsquarterly    | Name: Total Quarterly Unique Visitors 
ID totalvisitorsweekly       | Name: Total Weekly Unique Visitors 
ID totalvisitorsyearly       | Name: Total Yearly Unique Visitors 
ID totalvisits               | Name: Total Visits 
ID uniquevisitors            | Name: Unique Visitors 
ID units                     | Name: Units 
ID visitors                  | Name: Visitors 
ID visitorsdaily             | Name: Daily Unique Visitors 
ID visitorshourly            | Name: Hourly Unique Visitors 
ID visitorsmonthly           | Name: Monthly Unique Visitors 
ID visitorsnew               | Name: New Visitors 
ID visitorsquarterly         | Name: Quarterly Unique Visitors 
ID visitorsweekly            | Name: Weekly Unique Visitors 
ID visitorsyearly            | Name: Yearly Unique Visitors 
ID visits                    | Name: Visits 
ID cm200000815_5672a632e4b02db7e6495d4f | Name: Conversion Rate 
ID cm200000815_56727905e4b07083b1a06f3a | Name: Add to Cart % 
ID cm200000815_5672b418e4b02db7e6495d50 | Name: Cart Success % 
ID cm200000815_5673d122e4b04c2a92f620f3 | Name: Visits with Search 
ID cm200000815_56cc09aae16ac077d5f99b60 | Name: Add to Cart to Checkout % 
ID cm200000815_56cd5d473b991251e3549aab | Name: Unique Add to Cart 
ID cm200000815_56d164a341c44bd7e07dbc62 | Name: Home Page CTR 
ID cm200000815_56d411c3a1bfa270f1fc62b3 | Name: Unique Checkout 
ID cm200000815_56d692403b991251e3549ae1 | Name: Offer Page Views 
ID cm200000815_56d6d56edac38c48cdf32534 | Name: Summer Sale Views 
ID cm200000815_56d6d83aa1bfa270f1fc62c7 | Name: Unique Offer Page 
ID cm200000815_56e69d9441c44bd7e07dbcd3 | Name: Checkout % 
ID cm200000815_572b25631a444f0bf65e7602 | Name: Home Page Views 
ID cm200000815_57345673a1bfa24c30d218b4 | Name: Banner add to cart 
ID cm200000815_578cb7773916f67287ccb382 | Name: Bounce Rate 
ID cm200000815_57a9afd541c44b7686049697 | Name: Searches per Visit 
ID cm200000815_57d91388e16ac00647ff0dc7 | Name: Exit Rate 
ID cm200000815_57e2b5494f278f08f16cbd66 | Name: Unique Orders 
ID cm200000815_57e2b5d91a444f0dcffd2fef | Name: Visitor with Order 
ID cm200000815_57e7b9f5dac38c640116fbd2 | Name: Unique Product Views 
ID cm200000815_57e7bf8841c44b2607add204 | Name: Cart Addition(Product Page) 
ID cm200000815_57ea1ed93916f66fac72f9b7 | Name: Product View % 
ID cm200000815_57ea1f04a1bfa20cfb855dbb | Name: Product View to AddCart % 
ID cm200000815_57eb73e21a444f0dcffd30ba | Name: Unique Add to Cart(Product Page) 
ID cm200000815_57eb75cbdac38c640116fc63 | Name: Add to Cart(List Page) % 
ID cm200000815_5809e5731a444f51c5181a22 | Name: New Visitors 
ID cm200000815_5809e6a1dac38c20d0f096c5 | Name: New Visits % 
ID cm200000815_5809ec8a3b99124034306ecf | Name: New Visitors APP % 
ID cm200000815_581064d11a444f51c54cae48 | Name: Add to Cart (Product Page App) 
ID cm200000815_5811e7cfa1bfa201d3d6329c | Name: Add to Cart (PP Ratio) 
ID cm200000815_5811e8073916f656458e2725 | Name: Add to Cart (LP Ratio) 
ID cm200000815_58256f433916f64717db11f0 | Name: Products Viewed per Visit 
ID cm200000815_583c053faae9ea6d15f7e048 | Name: Product Conv Rate 
ID cm200000815_583fecc4311b65661d9c79dc | Name: Push Notifications 
ID cm200000815_584e56ca98ca3a717ce72472 | Name: Conversion Rate (Search Visits) 
ID cm200000815_584e584e311b65661d9c7b1a | Name: Search Usage % 
ID cm200000815_586368a53b99123f0035497d | Name: offer and sale page views 
ID cm200000815_586b72fa4f278f7e206f87d8 | Name: Lakme Searches 
ID cm200000815_586f0734311b65661d9c7d7b | Name: Home Page Views(App) 
ID cm200000815_5881d3bd506c8f4ea856de4a | Name: Offer Page Views non-sale (App) 
ID cm200000815_5881f2604f278f7e20c6fdfa | Name: Offers Page Sale (App) 
ID cm200000815_5881fb8e1a444f35c488f22b | Name: Loreal Brand Page Views 
ID cm200000815_5881fc284f278f7e20c6fdfb | Name: Loreal Brand Product Views 
ID cm200000815_5881fd49a1bfa257083daf18 | Name: Loreal Brand Searches 
ID cm200000815_5881fef93916f6706d693efc | Name: Loreal Brand Filter Usage 
ID cm200000815_58820460506c8f4ea856de52 | Name: Loreal Searches Web 
ID cm200000815_58820490aae9ea6d15bee066 | Name: Loreal Filter Web 
ID cm200000815_588206f33b99123f00c2ef1c | Name: Loreal Search Page Views 
ID cm200000815_5885eea2dac38c502858ef29 | Name: Sale Day 
ID cm200000815_5885f289e16ac03fd91c1dc5 | Name: lakme slider banner clicks (incorrect) 
ID cm200000815_5885f34ae16ac03fd91c1dc6 | Name: lakme slider banner live 
ID cm200000815_5885f4081a444f35c488f274 | Name: lakme slider banner impressions 
ID cm200000815_5885f48898ca3a717c8f91ac | Name: lakme slider banner clicks 
ID cm200000815_5885f4d5dac38c502858ef2d | Name: lakme slider banner CTR 
ID cm200000815_589dba2aaae9ea6d15bee4e1 | Name: Luxury Page Views 
ID cm200000815_589dba2be16ac03fd91c21c6 | Name: Luxury Page Views 
ID cm200000815_589e1fac1a444f35c488f6b1 | Name: Clinique Brand Page Views 
ID cm200000815_589e22e91a444f35c488f6b2 | Name: MAC Brand Page Views 
