customer_id,coupon_freeship
436,1
2012,1
3028,0
3760,1
4738,1
5698,0
6717,1
7594,1
8367,1
9957,1
10580,0
11312,1
11988,1
12881,1
13615,1
14518,1
15208,1
15729,1
16836,1
17683,1
18246,1
19106,1
19861,1
21399,1
22167,1
22840,1
23772,1
25053,1
26501,1
27613,1
29090,1
30106,1
31453,1
32854,1
35055,1
36250,1
37167,0
38369,1
40208,0
41658,1
43181,1
45022,1
45805,1
46599,0
48065,0
49138,1
49967,1
50831,0
51253,1
51973,1
52926,1
53727,1
54503,0
55720,1
57821,1
59400,1
60636,1
61693,1
64010,1
66068,1
67803,1
69305,1
70925,1
72331,1
74657,0
76699,1
78531,0
81605,0
83895,1
86636,0
89424,0
90452,1
92406,0
94597,1
95922,0
97873,1
100080,0
102054,1
104339,1
105595,1
106659,1
108192,1
110099,1
111927,1
113651,0
116152,1
117355,1
119033,1
120387,1
123140,1
124820,1
126140,0
127378,0
128425,1
130154,0
131612,1
132425,1
134147,0
135232,1
136847,1
137970,1
139162,1
141508,1
144383,1
146058,1
147640,1
149004,1
150549,0
153047,1
154807,1
156243,0
157539,1
159888,1
160668,1
162164,0
163445,1
164810,1
165881,1
167315,1
168981,1
170602,0
171915,1
173381,1
174339,1
532,1
2051,1
3123,1
4126,1
5110,1
5979,1
6887,1
7652,0
8901,1
10116,1
10755,0
11411,1
12173,1
13022,1
13728,1
14559,1
15305,1
16257,0
16966,1
17826,1
18326,1
19314,1
19980,0
21464,0
22204,1
22972,0
23945,1
25284,1
26696,1
27711,0
29204,1
30227,0
31836,1
34041,1
35515,1
36400,1
37406,1
38845,1
40445,1
41850,1
43326,0
45208,1
45907,1
46905,1
48232,1
49369,1
50087,1
50882,1
51401,1
52044,1
53175,1
53998,1
54583,1
56656,1
58109,1
59484,1
60759,1
62226,1
64285,1
66236,1
68115,1
69520,1
71177,1
72539,1
75078,1
76818,1
78719,1
82158,1
84338,1
87246,1
89876,1
90967,1
93426,1
94868,1
96106,1
98331,1
100180,0
102467,0
104728,0
105696,1
106941,1
108627,1
110422,0
112170,1
114192,1
116432,1
117883,1
119288,1
120570,1
123554,1
124965,1
126523,1
127535,1
128791,1
130362,1
131758,1
132832,1
134469,1
135539,1
137193,1
138311,1
139777,0
143196,1
144715,1
146314,1
147955,1
149111,1
151049,1
153431,0
155017,1
156397,1
157778,1
159997,1
161025,1
162485,1
164101,1
165004,1
166031,0
167766,1
169239,1
170945,0
172384,0
173544,1
174480,1
175533,1
177049,1
178271,1
179467,1
180712,1
182342,1
183561,1
184893,1
186030,0
186893,1
188340,1
189138,1
190094,1
191913,0
192614,1
193880,0
195221,1
196717,1
197948,1
198675,1
199822,1
201129,1
202668,1
203769,0
205765,0
207410,1
209909,1
212143,1
213574,1
215444,1
217614,1
220723,1
222327,1
223982,1
226637,0
228240,1
229501,1
230744,1
231971,1
233248,1
234253,1
235414,1
236989,1
238428,1
239783,1
241353,1
242748,0
244108,1
245952,1
247791,1
249645,1
250879,1
252502,1
253205,1
254356,1
255664,1
258218,0
260096,1
261129,1
262997,1
265488,1
266792,1
268583,1
269899,1
271587,1
273451,0
274862,1
276064,1
277073,1
279071,1
279901,1
280809,1
281921,1
282720,0
283527,1
285192,1
286470,1
288610,1
292442,1
294355,1
295183,1
296907,1
297782,1
299498,1
300841,1
302100,1
303124,0
303780,1
304546,1
305317,0
306375,1
307395,1
308668,1
309271,1
310543,1
312275,1
313054,1
314277,1
314830,1
316093,0
316921,1
317958,1
319111,0
320188,1
321554,1
322548,0
323365,1
324292,1
325600,0
326771,1
327557,1
328721,1
329938,1
330676,1
331692,1
332571,1
333792,1
335001,1
335563,1
337068,1
338260,1
339039,1
340318,1
341544,1
342190,1
342944,1
344655,0
345954,1
346994,1
348127,1
349033,1
349890,0
350983,1
352131,0
354195,1
355645,1
357027,0
358759,1
360024,1
361107,1
362172,1
363652,0
365629,1
367169,1
368903,1
370950,1
372283,0
375163,1
376972,1
378458,1
379951,1
381298,1
382956,0
385028,0
387635,1
390056,0
392486,1
394842,1
396268,1
398091,1
400472,1
402789,1
405362,1
407596,1
409546,0
411582,0
414008,1
416950,1
419552,1
422198,1
424473,1
426315,1
430120,1
434421,1
441112,0
445097,1
447474,1
450738,1
452699,1
455572,1
457112,0
458631,1
460828,1
462584,1
466128,1
466947,1
468734,1
469746,1
471401,1
473454,1
474700,1
476158,1
478031,1
480632,1
483164,1
485311,1
487534,1
490219,1
493235,1
495984,1
498414,1
501052,1
502052,1
504218,1
506970,1
508781,1
510824,1
513706,0
516074,1
517568,1
519326,1
520945,1
522032,1
522909,1
524266,1
526075,1
527841,1
529685,1
530973,1
533018,1
533939,1
535486,1
537597,1
538806,1
539836,1
541057,1
542446,1
543454,1
544384,1
545833,1
548001,1
549804,1
552046,1
553974,1
556038,1
556912,1
558454,1
559764,1
560739,1
562386,1
563720,0
565189,0
566858,1
567953,0
570063,1
571615,1
572995,1
574404,1
576342,1
578411,1
581038,1
582599,1
585382,1
587692,1
590257,1
591376,1
593557,1
594952,1
596952,1
599215,1
600751,1
602864,1
605450,1
606806,1
608476,1
609640,1
611293,1
612957,0
614578,1
615990,1
616991,1
618191,1
619585,1
620667,1
621775,1
623111,1
624109,1
625541,1
626765,1
628018,1
629515,1
630499,1
631622,1
633177,1
634735,1
635958,1
637720,1
639509,1
640980,1
641890,1
643600,1
645147,1
646251,1
647028,1
649088,1
652161,1
654202,1
656604,1
659455,1
661976,1
663663,1
665026,1
668081,1
670561,1
672146,1
673732,1
675272,1
676919,1
678505,1
680265,1
682387,1
685341,1
686617,1
688257,1
689606,1
690946,1
692776,1
694093,1
695085,1
696760,0
698376,1
699999,1
701177,1
702465,1
704480,1
705774,1
707523,1
708954,1
710887,1
712203,1
713601,1
715050,1
717521,1
719107,1
720265,1
721836,1
723902,0
725372,1
727226,1
728759,1
730046,1
731653,1
733429,1
734980,1
736426,0
737890,1
739662,1
741559,1
742925,0
744432,1
747352,1
749001,0
750832,1
752742,1
754867,1
756885,1
759115,1
762644,1
766050,1
768110,1
770759,0
772911,1
773961,1
774954,1
776942,1
778543,1
781453,1
782519,1
785049,1
786594,1
788307,1
789596,1
790493,1
791652,1
792593,1
794723,0
795821,1
796760,1
798024,1
799087,0
800068,1
801840,1
803438,1
804827,1
806018,1
807711,1
